Thu Jun  5 23:31:38 -03 2025
Running test 1 for UF: brazil with algorithm: ACO
AntColonyOptimization::new() called with 5570 cities, using 25 antsExecute AntColonyOptimization
Iteration 155: Best Cost = 1488.4003
Iteration 156: Best Cost = 1488.4003
Iteration 157: Best Cost = 1487.4077
Iteration 158: Best Cost = 1487.4077
Iteration 159: Best Cost = 1487.4077
Iteration 160: Best Cost = 1487.4077
Iteration 161: Best Cost = 1487.4077
Iteration 162: Best Cost = 1487.4077
Iteration 163: Best Cost = 1481.4498
Iteration 164: Best Cost = 1481.4498
Iteration 165: Best Cost = 1481.4498
Iteration 166: Best Cost = 1481.4498
Iteration 167: Best Cost = 1481.4498
Iteration 168: Best Cost = 1481.4498
Iteration 169: Best Cost = 1481.4498
Iteration 170: Best Cost = 1481.4498
Iteration 171: Best Cost = 1481.4498
Iteration 172: Best Cost = 1481.4498
Iteration 173: Best Cost = 1481.4498
Iteration 174: Best Cost = 1481.4498
Iteration 175: Best Cost = 1481.4498
Iteration 176: Best Cost = 1481.4498
Iteration 177: Best Cost = 1468.2558
Iteration 178: Best Cost = 1468.2558
Iteration 179: Best Cost = 1468.2558
Iteration 180: Best Cost = 1468.2558
Iteration 181: Best Cost = 1468.2558
Iteration 182: Best Cost = 1468.2558
Iteration 183: Best Cost = 1468.2558
Iteration 184: Best Cost = 1468.2558
Iteration 185: Best Cost = 1468.2558
Iteration 186: Best Cost = 1468.2558
Iteration 187: Best Cost = 1468.2558
Iteration 188: Best Cost = 1468.2558
Iteration 189: Best Cost = 1468.2558
Iteration 190: Best Cost = 1468.2558
Iteration 191: Best Cost = 1461.5643
Iteration 192: Best Cost = 1461.5643
Iteration 193: Best Cost = 1461.5643
Iteration 194: Best Cost = 1461.5643
Iteration 195: Best Cost = 1461.5643
Iteration 196: Best Cost = 1461.5643
Iteration 197: Best Cost = 1461.5643
Iteration 198: Best Cost = 1461.5643
Iteration 199: Best Cost = 1461.5643
Iteration 200: Best Cost = 1461.5643
Iteration 201: Best Cost = 1461.5643
Iteration 202: Best Cost = 1461.5643
Iteration 203: Best Cost = 1461.5643
Iteration 204: Best Cost = 1461.5643
Iteration 205: Best Cost = 1461.5643
Iteration 206: Best Cost = 1461.5643
Iteration 207: Best Cost = 1461.5643
Iteration 208: Best Cost = 1461.5643
Iteration 209: Best Cost = 1461.5643
Iteration 210: Best Cost = 1461.5643
Iteration 211: Best Cost = 1461.5643
Iteration 212: Best Cost = 1461.5643
Iteration 213: Best Cost = 1461.5643
Iteration 214: Best Cost = 1461.5643
Iteration 215: Best Cost = 1461.5643
Iteration 216: Best Cost = 1461.5643
Iteration 217: Best Cost = 1461.5643
Iteration 218: Best Cost = 1461.5643
Iteration 219: Best Cost = 1461.5643
Iteration 220: Best Cost = 1461.5643
Iteration 221: Best Cost = 1461.5643
Iteration 222: Best Cost = 1461.5643
Iteration 223: Best Cost = 1461.5643
Iteration 224: Best Cost = 1461.5643
Iteration 225: Best Cost = 1461.5643
Iteration 226: Best Cost = 1461.5643
Iteration 227: Best Cost = 1461.5643
Iteration 228: Best Cost = 1461.5643
Iteration 229: Best Cost = 1461.5643
Iteration 230: Best Cost = 1461.5643
Iteration 231: Best Cost = 1461.5643
Iteration 232: Best Cost = 1461.5643
Iteration 233: Best Cost = 1461.5643
Iteration 234: Best Cost = 1461.5643
Iteration 235: Best Cost = 1461.5643
